filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode
channel-180.pod5	db438502-ea3e-44b2-9c1c-7339958489ce	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	182.925	0.8506	183.776	0	345	22	unclassified
channel-180.pod5	3b3dd916-e59d-4492-aded-3bfd4a6abcce	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	281.591	2.539	284.13	0	961	21	unclassified
channel-180.pod5	2fe8f5ae-2651-4859-b651-6dcb4c3d5bbd	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	291.511	1.685	293.196	0	578	19	unclassified
channel-180.pod5	161f3dfc-d665-4120-8024-75a38209e362	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	345.115	0.7422	345.857	0	284	22	unclassified
channel-180.pod5	0dbf47bd-8ce9-4910-87c9-5f89c247e842	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	564.272	1.4098	565.682	0	574	20	unclassified
channel-180.pod5	54fd286d-73d6-465b-8414-91325be39a46	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	335.489	4.75	340.239	0	1846	26	unclassified
channel-180.pod5	f2b5baed-f6d4-461d-9e17-17f9d3d92d47	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	348.833	1.9278	350.761	0	767	30	unclassified
channel-180.pod5	fe6538cb-64cc-4ad8-9cda-bed6fac781a0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	506.381	1.1806	507.562	0	383	22	unclassified
channel-180.pod5	12ba8709-28ff-478a-ac5b-05064328c098	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	508.288	1.7256	510.014	0	579	21	unclassified
channel-180.pod5	c49ad26a-913f-4e26-a28a-bc72eb487b8c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	519.781	2.6	522.381	0	1031	17	unclassified
channel-180.pod5	c53796e4-296c-49e8-bbcb-da86a5d0c24e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	548.191	0.6846	548.876	0	261	26	unclassified
channel-180.pod5	3ac187eb-7059-40d5-b13b-71148141991e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	535.062	0.8264	535.888	0	344	16	unclassified
channel-180.pod5	1312cd48-6301-40e6-88e0-053b094c23d1	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	533.993	1.0608	535.054	0	308	26	unclassified
channel-180.pod5	03520b7c-e82b-4dde-a56b-7ccbbb5d6fee	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	571.036	1.129	572.165	0	393	22	unclassified
channel-180.pod5	bcd95d9e-7172-433f-a827-91f983e92b9e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	486.182	17.4426	503.625	0	6758	25	unclassified
channel-180.pod5	3c768879-63cf-4c07-a72f-2b19b353134c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	573.483	2.473	575.956	0	936	23	unclassified
channel-180.pod5	ef7700fd-7841-4793-9d62-0240e5b64a49	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	611.77	1.5508	613.321	0	560	33	unclassified
channel-180.pod5	6992ded0-57b8-41ce-a0ef-8e07463d0807	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	372.531	54.4904	427.021	0	16282	25	unclassified
channel-180.pod5	6bc81d18-21b1-444a-a627-77f672791283	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	429.205	47.69	476.895	0	17872	24	unclassified
channel-180.pod5	2e003baf-fde5-4b9b-b038-420ebde6e5cf	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	643.561	1.0292	644.59	0	319	24	unclassified
channel-180.pod5	73c40f8a-0a76-4092-9c14-ba7eb6ace511	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	616.482	3.8346	620.317	0	1686	21	unclassified
channel-180.pod5	a74c99a8-2f05-4081-ba73-90dd90feb96a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	721.899	0.9884	722.887	0	408	16	unclassified
channel-180.pod5	b69b008a-fa51-41d9-a61d-da132775eb80	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	621.172	4.0652	625.237	0	1396	25	unclassified
channel-180.pod5	4eb4b7ad-c8cf-47da-b4b2-b93cdc72a099	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	647.689	0.7658	648.455	0	218	14	unclassified
channel-180.pod5	8ea67a30-943e-4974-adf3-5febc90644f7	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	765.889	0.8132	766.702	0	286	14	unclassified
channel-180.pod5	1f9b295c-1a77-4eba-9433-3a9b30d9993f	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	676.405	1.095	677.5	0	355	23	unclassified
channel-180.pod5	1cdca30b-9ad1-483c-b4c6-517ecf23771e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	720.524	1.3502	721.874	0	400	16	unclassified
channel-180.pod5	6e712acc-25fb-4a08-9cf2-901ecf58a39e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	650.705	0.7938	651.499	0	199	20	unclassified
channel-180.pod5	ba808912-3f18-4bd7-9e0d-5484b241bb36	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	712.278	0.7834	713.061	0	244	32	unclassified
channel-180.pod5	0043f84f-aec3-4351-844c-970e46e97d7f	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	734.958	2.3596	737.318	0	611	17	unclassified
channel-180.pod5	4ebae849-16e4-45b8-9be2-cf237cff9e50	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	755.839	0.7444	756.583	0	253	14	unclassified
channel-180.pod5	c19de949-20fe-440d-a29e-2e7a7c4c882b	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	584.555	24.684	609.239	0	9398	22	unclassified
channel-180.pod5	4fd52665-0c09-4b62-a331-c15da4aee6f9	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	764.884	0.9496	765.834	0	293	18	unclassified
channel-180.pod5	e0795e8e-56d9-41ff-9d7c-ec6ee8470db1	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	803.898	1.2858	805.184	0	549	17	unclassified
channel-180.pod5	32000d79-45f5-4b05-89b9-486edeab799b	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	658.025	13.2254	671.25	0	4815	26	unclassified
channel-180.pod5	395c5d45-dd16-4e86-8766-1c76addea53c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	778.037	0.7018	778.739	0	279	19	unclassified
channel-180.pod5	2cd84ec7-1341-4cc9-a02d-d4a24b4e5673	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	888.436	0.8892	889.325	0	333	20	unclassified
channel-180.pod5	18a4cbad-1964-488b-bcee-047535956acf	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	871.307	5.4262	876.733	0	2267	21	unclassified
channel-180.pod5	87af2806-9f44-4422-b9da-59917482d82e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	886.74	1.2776	888.018	0	543	17	unclassified
channel-180.pod5	7288b459-0025-484c-8376-5322e0acd511	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1031.64	1.0996	1032.74	0	379	20	unclassified
channel-180.pod5	504db022-7dc1-4a10-8d17-65077c8c485a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	876.884	4.3114	881.195	0	1789	20	unclassified
channel-180.pod5	6fc07d21-b7cb-4482-ab6d-7887bc4700d8	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	894.844	0.9734	895.817	0	335	24	unclassified
channel-180.pod5	acfd9a80-5512-4b9d-83a3-8beb43c49c61	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	881.436	0.9022	882.338	0	404	20	unclassified
channel-180.pod5	5ebdd9c1-92ce-4f99-97e6-04bd3d671d4d	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	891.349	1.49	892.839	0	566	20	unclassified
channel-180.pod5	b1ed6ba8-8f40-49cb-a4a2-f0c788ef0610	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1049.48	0.8104	1050.29	0	287	21	unclassified
channel-180.pod5	8bee56f7-da75-43a1-a1f5-c6139e696dc5	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	952.655	1.0506	953.706	0	410	26	unclassified
channel-180.pod5	9912ad6f-34f5-41cc-af36-d6fc67537d7e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	791.912	10.3084	802.22	0	3941	24	unclassified
channel-180.pod5	4efc9ab6-84d4-4946-a7a2-eae5f72c6194	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	900.471	3.0738	903.545	0	920	25	unclassified
channel-180.pod5	4c42b31f-0be0-4533-ab7f-403f7e933465	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	984.138	0.8654	985.003	0	243	13	unclassified
channel-180.pod5	60739e45-f871-49e1-870a-013a6bef8d7e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1026.49	0.9238	1027.41	0	382	16	unclassified
channel-180.pod5	d906ead0-f923-447e-84c6-51774f1a1e52	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	954.701	0.8032	955.504	0	267	20	unclassified
channel-180.pod5	5b815b5a-c436-4530-99b1-17074bf54473	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1023.05	0.8892	1023.94	0	336	22	unclassified
channel-180.pod5	45133129-2620-42eb-bc0a-65b5d5ebe597	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1127.95	1.0204	1128.97	0	344	33	unclassified
channel-180.pod5	71e177c1-067d-4a5a-afb9-88f203f6f165	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1020.48	1.8348	1022.31	0	771	13	unclassified
channel-180.pod5	5630c1c7-00d2-41a5-8ae6-0e6380160ddb	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1033.55	1.7784	1035.33	0	703	24	unclassified
channel-180.pod5	c42314c8-e3d8-4a37-acca-6025bbe4d421	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1036.55	0.8236	1037.37	0	302	29	unclassified
channel-180.pod5	60ba6495-ca34-4d97-92b8-e21cc1aefa4e	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1042.46	0.8034	1043.27	0	260	20	unclassified
channel-180.pod5	b55e9905-6fe2-4c9f-ab6c-9038bd2fabae	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	903.659	13.3094	916.968	0	5057	28	unclassified
channel-180.pod5	af450ceb-8ce8-4b87-ac3b-8f1f7ad7794d	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1093.82	1.639	1095.46	0	685	26	unclassified
channel-180.pod5	1ea585a5-1a60-4501-af53-5b26957ca456	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1105.38	0.898	1106.28	0	286	22	unclassified
channel-180.pod5	98a1202c-8415-4050-be8a-a5077e06cd40	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1130.1	1.7094	1131.8	0	628	17	unclassified
channel-180.pod5	76affb56-dd26-4ca8-864a-dda35ca69f11	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1175.44	1.0204	1176.46	0	317	24	unclassified
channel-180.pod5	38a6f93d-ff59-469e-a9fb-98d779c15850	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1095.57	0.7098	1096.28	0	306	27	unclassified
channel-180.pod5	d9eadac3-68d7-43d8-b025-401d7e238bf9	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	1163.59	0.7878	1164.38	0	269	21	unclassified
channel-180.pod5	a4ea6a18-f201-48fc-8144-051de4c2e410	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	992.877	12.632	1005.51	0	5275	20	unclassified
